uEst,uVal,yEst,yVal,Ts
3.209,1.4637,5.1846,6.2271,
3.2328,1.6343,5.2569,6.0943,
3.2573,1.8193,5.3118,5.9615,
3.2777,2.0111,5.3838,5.8196,
3.2891,2.2023,5.4318,5.6561,
3.2865,2.3863,5.5206,5.1049,
3.2658,2.5577,5.5541,4.9603,
3.2241,2.7135,5.6243,4.854,
3.1603,2.8526,5.6902,4.7549,
3.0753,2.9769,5.7659,4.663,
2.972,3.0901,5.8218,4.598,
2.855,3.1982,5.8706,4.5501,
2.7306,3.3079,5.9365,4.5144,
2.606,3.4267,5.9609,4.4561,
2.4884,3.5613,6.0146,4.4561,
2.3848,3.7172,6.0366,4.4375,
2.3008,3.8977,6.1001,4.4033,
2.2402,4.1038,6.0919,4.4143,
2.2048,4.3333,6.1489,4.4036,
2.1938,4.5815,6.1254,4.4262,
2.2041,4.8415,6.1782,4.4179,
2.2309,5.1043,6.1523,4.4335,
2.2675,5.3602,6.1798,4.4189,
2.3069,5.5996,6.192,4.4417,
2.342,5.8137,6.1877,4.4561,
2.3665,5.9955,6.166,4.4656,
2.3757,6.1403,6.1724,4.5025,
2.367,6.2462,6.184,4.5422,
2.34,6.3139,6.1523,4.6938,
2.2969,6.3467,6.181,5.2602,
2.2419,6.35,6.1807,5.8514,
2.1811,6.33,6.1611,6.5374,
2.1215,6.2938,6.148,7.0141,
2.0702,6.2476,6.0806,7.4054,
2.0339,6.1966,6.0671,7.9351,
2.0178,6.1441,5.9936,8.4366,
2.0253,6.091,5.8984,8.9984,
2.0573,6.0362,5.8282,9.5279,
2.1122,5.9763,5.7803,9.9576,
2.186,5.9068,5.667,10,
2.2724,5.8221,5.6249,10,
2.3641,5.7168,5.5416,10,
2.4526,5.5861,5.4247,10,
2.5299,5.4274,5.368,10,
2.5887,5.2398,5.2825,10,
2.6232,5.0252,5.249,10,
2.6299,4.7881,5.1775,10,
2.6076,4.5351,5.1104,10,
2.5577,4.2748,5.0954,10,
2.4839,4.0165,5.014,10,
2.3918,3.7699,4.9917,10,
2.2882,3.5436,4.9538,10,
2.1805,3.3447,4.9087,10,
2.0763,3.178,4.8559,10,
1.9821,3.0455,4.7967,10,
1.9032,2.9467,4.7573,10,
1.8431,2.8783,4.7137,10,
1.8033,2.8348,4.6624,10,
1.7833,2.8098,4.6416,10,
1.781,2.7959,4.5623,10,
1.7925,2.7863,4.5269,10,
1.8133,2.7753,4.479,10,
1.8382,2.7593,4.4244,10,
1.8624,2.7367,4.3999,9.9628,
1.8813,2.7083,4.3523,9.9307,
1.8917,2.6772,4.2715,9.8587,
1.8913,2.6482,4.247,9.7696,
1.8793,2.6273,4.1933,9.7626,
1.8561,2.6205,4.1558,9.7015,
1.8235,2.6335,4.1277,9.6219,
1.784,2.6703,4.0764,9.5889,
1.7408,2.7332,4.0114,9.5117,
1.6972,2.8216,3.9654,9.4525,
1.6567,2.9326,3.9477,9.4107,
1.6222,3.0608,3.9031,9.3155,
1.5963,3.1988,3.8311,9.2642,
1.5808,3.338,3.7786,9.2203,
1.5766,3.469,3.7353,9.1528,
1.5841,3.5832,3.6675,9.1632,
1.603,3.673,3.644,9.0918,
1.6322,3.733,3.5848,9.064,
1.6706,3.7603,3.5344,9.003,
1.7162,3.7544,3.4658,9.024,
1.7675,3.718,3.409,8.959,
1.8222,3.6558,3.369,8.93,
1.8786,3.5743,3.2778,8.959,
1.9347,3.4814,3.236,8.9184,
1.9887,3.3847,3.2137,8.9236,
2.0391,3.2915,3.1533,8.9102,
2.0844,3.2078,3.1002,8.8809,
2.1237,3.1376,3.0678,8.8794,
2.1561,3.0826,3.0294,8.9035,
2.1814,3.0425,3.0217,8.8702,
2.1996,3.0146,3.001,8.8965,
2.2115,2.9948,2.9644,8.8476,
2.2179,2.9775,2.972,8.8568,
2.2203,2.9571,2.9726,8.869,
2.2206,2.9282,2.9326,8.8113,
2.2205,2.886,2.9543,8.7906,
2.2219,2.8277,2.9409,8.8028,
2.2266,2.7518,2.9125,8.8101,
2.2358,2.6591,2.9378,8.7784,
2.2502,2.552,2.9473,8.7539,
2.2701,2.4344,2.9162,8.6908,
2.2948,2.3116,2.9448,8.6978,
2.3231,2.1891,2.9418,8.6868,
2.3533,2.0727,2.9253,8.6099,
2.3832,1.9675,2.9503,8.5663,
2.4109,1.8775,2.9403,8.5345,
2.4342,1.8056,2.9384,8.4549,
2.4518,1.7532,2.9583,8.3938,
2.4629,1.7199,2.9509,8.3178,
2.4676,1.7045,2.9848,8.2123,
2.4673,1.7043,2.9656,8.1268,
2.4638,1.7162,2.9973,8.0752,
2.4601,1.7369,3.0135,7.9922,
2.4596,1.763,2.9986,7.8833,
2.4659,1.7916,3.0352,7.8116,
2.4823,1.8208,3.0327,7.6831,
2.5118,1.8493,3.0575,7.5775,
2.5562,1.8767,3.0712,7.492,
2.6163,1.9035,3.0767,7.3806,
2.6915,1.9308,3.0678,7.3159,
2.78,1.9601,3.0825,7.2335,
2.8787,1.9931,3.1203,7.1356,
2.9837,2.0317,3.1072,7.0379,
3.0909,2.0773,3.1524,6.9351,
3.1959,2.1311,3.142,6.7849,
3.2949,2.1936,3.1691,6.7236,
3.3852,2.2653,3.1984,6.6204,
3.465,2.3458,3.203,6.509,
3.5343,2.4345,3.2241,6.3763,
3.5946,2.5305,3.2494,6.2908,
3.6487,2.6328,3.2708,6.1736,
3.7004,2.7399,3.3013,6.0439,
3.7544,2.8504,3.3672,5.9417,
3.8153,2.963,3.3754,5.8715,
3.8872,3.0761,3.4405,5.7537,
3.9735,3.1879,3.4493,5.6518,
4.0759,3.2969,3.5198,5.6078,
4.1946,3.4012,3.5479,5.498,
4.3276,3.4991,3.622,5.4418,
4.4715,3.5889,3.7038,5.0274,
4.6212,3.6692,3.7465,5.017,
4.7706,3.7387,3.8402,4.9633,
4.9128,3.7967,3.9132,4.9917,
5.0413,3.843,4.0142,4.9834,
5.15,3.8782,4.0673,4.949,
5.2342,3.9033,4.121,4.9758,
5.2905,3.9201,4.1442,4.9413,
5.3176,3.9309,4.2748,4.9487,
5.316,3.938,4.7063,4.9749,
5.2881,3.944,5.0942,4.9529,
5.2373,3.9512,5.501,4.992,
5.1686,3.9611,5.9371,4.9609,
5.0871,3.9747,6.369,4.9786,
4.9978,3.9916,6.7846,5.0149,
4.9055,4.0107,6.9824,5.1046,
4.8137,4.0294,7.2161,5.1943,
4.7249,4.0446,7.3916,5.2343,
4.64,4.0524,7.6165,5.2847,
4.559,4.0489,7.8457,5.4107,
4.4807,4.0302,8.0584,5.4794,
4.403,3.9935,8.2852,5.595,
4.3237,3.9371,8.4491,5.6707,
4.2408,3.8606,8.6221,5.7977,
4.1526,3.7658,8.8305,5.9344,
4.0582,3.656,8.9615,6.0513,
3.9579,3.5363,9.1278,6.1221,
3.8527,3.4129,9.2114,6.3177,
3.745,3.2932,9.3436,6.3751,
3.6375,3.1844,9.4351,6.4981,
3.5335,3.0936,9.5132,6.607,
3.4364,3.0267,9.5132,6.6894,
3.3494,2.9879,9.5727,6.7617,
3.2747,2.9793,9.577,6.795,
3.214,3.0008,9.6344,6.8643,
3.1679,3.0499,9.6063,6.9067,
3.1361,3.1219,9.6402,6.9326,
3.1172,3.2105,9.6289,7.0034,
3.1093,3.3081,9.6378,7.0425,
3.1101,3.4069,9.6387,7.0318,
3.1173,3.4989,9.6304,7.0904,
3.1287,3.5776,9.6316,7.1063,
3.1428,3.6376,9.6451,7.1807,
3.1585,3.6757,9.6136,7.1972,
3.1756,3.6908,9.584,7.2149,
3.1945,3.6837,9.5892,7.3001,
3.2161,3.6576,9.5889,7.3086,
3.2416,3.6166,9.5502,7.3846,
3.272,3.5662,9.5068,7.3867,
3.3085,3.512,9.5331,7.4722,
3.3514,3.459,9.5206,7.4697,
3.4004,3.4116,9.4922,7.5308,
3.4547,3.3727,9.4598,7.565,
3.5127,3.3433,9.422,7.622,
3.5721,3.3229,9.4131,7.7069,
3.6306,3.3092,9.4122,7.7115,
3.6854,3.2988,9.4183,7.8024,
3.7344,3.2873,9.3817,7.8613,
3.7758,3.27,9.4183,7.868,
3.8083,3.2425,9.379,7.9336,
3.8317,3.2013,9.3777,7.9678,
3.8465,3.1441,9.4159,7.9971,
3.8536,3.0701,9.5044,8.0008,
3.8548,2.9803,9.5889,8.0472,
3.8517,2.8772,9.7046,8.0923,
3.8458,2.7648,9.8087,8.0987,
3.8381,2.6478,9.9478,8.1265,
3.8289,2.5318,10,8.1436,
3.8178,2.422,10,8.1268,
3.803,2.3232,10,8.1021,
3.7824,2.2391,10,8.1366,
3.753,2.1723,10,8.1537,
3.7116,2.1236,10,8.1512,
3.6551,2.0924,10,8.1476,
3.581,2.0767,10,8.0996,
3.4878,2.0733,10,8.0978,
3.3749,2.0784,10,8.0951,
3.2434,2.0876,10,8.0826,
3.0957,2.0969,10,8.0267,
2.9353,2.1027,10,7.9971,
2.7669,2.1022,10,7.9776,
2.5954,2.094,10,7.9199,
2.4259,2.0777,10,7.8262,
2.2629,2.0542,10,7.7853,
2.11,2.0256,10,7.7459,
1.9696,1.9947,10,7.6614,
1.8424,1.965,10,7.5872,
1.7276,1.9404,9.9506,7.5091,
1.6232,1.9245,9.8688,7.4707,
1.5262,1.9205,9.7745,7.3529,
1.433,1.9311,9.6744,7.305,
1.3402,1.9579,9.6112,7.2512,
1.2452,2.0019,9.4913,7.1646,
1.1464,2.0626,9.3814,7.0996,
1.044,2.1388,9.2862,6.9747,
0.94032,2.2281,9.1055,6.896,
0.8393,2.3277,9.0967,6.8447,
0.74674,2.4336,8.7988,6.7742,
0.66972,2.5418,8.6426,6.6677,
0.61596,2.6476,8.4292,6.5786,
0.59314,2.7467,8.2147,6.5112,
0.60806,2.8345,8.045,6.416,
0.66595,2.9069,7.912,6.3272,
0.76981,2.9602,7.6825,6.2817,
0.92001,2.9914,7.5079,6.2298,
1.1141,2.9983,7.3568,6.1398,
1.3467,2.9797,7.1777,6.1138,
1.6102,2.9352,6.9967,6.0278,
1.895,2.8657,6.8106,6.0043,
2.1904,2.7731,6.5997,5.9539,
2.4853,2.6602,6.437,5.8953,
2.7695,2.531,6.1981,5.873,
3.0337,2.3898,6.0421,5.7998,
3.2711,2.2414,5.8364,5.7607,
3.477,2.0911,5.6347,5.7195,
3.6495,1.9435,5.1238,5.6887,
3.7893,1.8031,5.0185,5.6216,
3.8992,1.6735,4.9075,5.5425,
3.9839,1.5572,4.8565,5.4775,
4.049,1.4556,4.7967,5.4031,
4.1006,1.3688,4.7997,4.9487,
4.1442,1.2959,4.7634,4.9068,
4.1845,1.2348,4.7308,4.8305,
4.2245,1.1826,4.7481,4.7378,
4.2655,1.1361,4.7466,4.6767,
4.307,1.0919,4.753,4.5992,
4.3468,1.047,4.7662,4.4799,
4.3815,0.99874,4.7335,4.4228,
4.4068,0.9457,4.7646,4.3359,
4.4182,0.88739,4.7442,4.2519,
4.4115,0.82455,4.7671,4.1518,
4.3834,0.75905,4.8003,4.1015,
4.3318,0.69378,4.8125,4.0081,
4.2563,0.63235,4.8437,3.9037,
4.1577,0.57882,4.9651,3.8277,
4.0383,0.53732,5.0735,3.7041,
3.9018,0.51169,5.2123,3.5839,
3.7521,0.50512,5.277,3.5113,
3.5937,0.51994,5.3765,3.3834,
3.4307,0.55744,5.4443,3.2171,
3.2664,0.61775,5.5996,3.051,
3.1032,0.69993,5.6719,2.9326,
2.9425,0.80207,5.8175,2.8188,
2.7841,0.9215,5.9197,2.6836,
2.627,1.055,6.0049,2.5624,
2.4695,1.1992,6.0815,2.4544,
2.3095,1.3507,6.1871,2.3696,
2.145,1.5063,6.2515,2.2805,
1.9746,1.6632,6.3198,2.1913,
1.7978,1.8192,6.3812,2.1672,
1.6156,1.9724,6.3833,2.181,
1.43,2.1216,6.4056,2.1691,
1.2447,2.2659,6.4486,2.1639,
1.0645,2.4046,6.4263,2.195,
0.89504,2.5372,6.4764,2.1877,
0.74248,2.6633,6.4477,2.2289,
0.61281,2.7825,6.441,2.2548,
0.51143,2.8942,6.4642,2.2588,
0.44267,2.9977,6.4126,2.2704,
0.40937,3.0926,6.3809,2.2988,
0.41263,3.1782,6.3101,2.322,
0.45172,3.2542,6.2402,2.3565,
0.52408,3.3203,6.0272,2.3662,
0.6256,3.3765,5.873,2.4077,
0.75092,3.4232,5.7031,2.426,
0.89384,3.4606,5.5105,2.4736,
1.0479,3.4894,5.3246,2.5466,
1.2066,3.5099,5.1601,2.5878,
1.3643,3.5225,5.0271,2.6455,
1.5162,3.527,4.8653,2.6592,
1.6586,3.5229,4.7256,2.7163,
1.7891,3.5091,4.602,2.7868,
1.9069,3.484,4.4814,2.8652,
2.0119,3.4456,4.3426,2.9348,
2.1054,3.3916,4.2779,2.9628,
2.1892,3.3198,4.1799,3.0678,
2.2654,3.228,4.1006,3.1279,
2.3363,3.115,4.0459,3.185,
2.404,2.9801,3.987,3.243,
2.4703,2.8241,3.9028,3.2949,
2.5362,2.6488,3.8604,3.3593,
2.6023,2.4576,3.8,3.4633,
2.6687,2.2548,3.7655,3.5805,
2.7349,2.0462,3.7075,3.6593,
2.8002,1.838,3.6925,3.6837,
2.8635,1.6369,3.6873,3.7639,
2.9238,1.4491,3.6596,3.7514,
2.9802,1.2806,3.6529,3.8152,
3.0319,1.136,3.6196,3.8091,
3.0784,1.0186,3.6101,3.8296,
3.1195,0.92978,3.6245,3.8259,
3.155,0.86944,3.6312,3.7963,
3.1851,0.83561,3.6144,3.8198,
3.21,0.82488,3.6553,3.8177,
3.23,0.83275,3.6672,3.7881,
3.2451,0.85406,3.6379,3.7978,
3.2554,0.88351,3.6883,3.7807,
3.261,0.9162,3.6831,3.7151,
3.2615,0.94805,3.6831,3.7179,
